Date,T_degC
28/7/2009,16.370
5/11/2001,16.380
26/10/2001,16.380
25/3/2012,16.390
28/3/2012,16.390
16/7/2013,16.420
3/11/2003,16.430
17/11/2005,16.430
23/1/2001,16.440
20/7/2004,16.440
4/11/2001,16.460
1/8/2010,16.510
17/1/2001,16.520
25/11/2002,16.530
9/4/2000,16.540
21/1/2001,16.540
22/1/2001,16.540
16/1/2001,16.540
8/4/2000,16.540
6/4/2014,16.570
9/4/2001,16.570
13/1/2000,16.570
9/4/2001,16.570
1/8/2009,16.580
30/7/2010,16.580
31/7/2010,16.580
31/7/2009,16.590
2/8/2009,16.590
19/7/2009,16.600
2/11/2003,16.620
12/11/2002,16.630
3/8/2010,16.630
26/10/2011,16.640
11/11/2002,16.650
4/8/2010,16.670
10/2/2018,16.670
19/10/2008,16.670
5/8/2010,16.680
8/7/2007,16.680
11/11/2013,16.690
21/7/2019,16.700
22/7/2015,16.720
9/8/2010,16.730
24/11/2002,16.730
8/8/2010,16.730
23/10/2000,16.730
20/10/2018,16.740
23/11/2002,16.740
9/7/2000,16.760
10/11/2002,16.760
10/11/2013,16.760
11/7/2001,16.780
8/7/2000,16.800
9/11/2013,16.820
21/7/2009,16.820
6/7/2002,16.820
13/1/2001,16.820
9/4/2002,16.830
25/10/2001,16.840
12/11/2013,16.840
10/4/2003,16.840
3/7/2000,16.850
24/7/2009,16.850
26/7/2001,16.850
2/7/2000,16.870
7/4/2019,16.880
19/7/2013,16.890
18/7/2013,16.890
11/7/2002,16.920
19/1/2008,16.920
12/4/2001,16.930
12/4/2001,16.930
11/4/2001,16.930
17/4/2001,16.950
22/11/2002,16.980
17/10/2000,16.980
16/10/2000,16.990
14/11/2013,17.000
7/4/2019,17.000
13/11/2013,17.000
24/11/2013,17.010
11/7/2002,17.010
12/11/2015,17.010
16/4/2001,17.030
4/4/2002,17.050
5/7/2002,17.050
20/1/2000,17.050
12/1/2001,17.060
4/7/2002,17.070
19/11/2005,17.070
10/7/2001,17.070
25/7/2001,17.080
20/11/2013,17.080
8/11/2015,17.100
15/1/2013,17.130
29/7/2003,17.130
22/11/2013,17.140
9/4/2002,17.150
8/4/2002,17.160
10/2/2006,17.160
8/2/2019,17.170
18/6/2018,17.180
12/1/2000,17.180
23/11/2013,17.190
22/11/2017,17.190
21/10/2012,17.200
22/4/2018,17.200
9/2/2018,17.210
11/7/2005,17.210
19/11/2009,17.220
14/7/2001,17.220
20/4/2005,17.240
19/4/2003,17.250
29/10/2000,17.250
23/4/2001,17.250
19/4/2005,17.350
21/10/2000,17.350
12/7/2015,17.350
1/4/2016,17.360
26/3/2004,17.380
17/7/2009,17.420
7/2/2019,17.440
12/11/2009,17.440
17/11/2017,17.440
20/7/2016,17.440
8/11/2009,17.460
17/4/2015,17.470
14/7/2019,17.480
9/7/2013,17.490
8/7/2013,17.490
25/7/2019,17.490
8/4/2017,17.500
23/1/2009,17.500
21/4/2018,17.510
22/4/2001,17.540
11/1/2000,17.550
11/1/2001,17.560
2/8/2011,17.560
18/4/2003,17.590
28/10/2000,17.590
9/2/2003,17.600
24/10/2008,17.600
19/7/2003,17.600
20/11/2005,17.620
10/1/2001,17.640
15/7/2009,17.680
15/11/2009,17.680
1/2/2015,17.710
11/1/2009,17.710
9/4/2003,17.720
20/7/2014,17.730
19/1/2000,17.730
8/2/2003,17.730
21/11/2016,17.740
24/1/2008,17.750
17/4/2003,17.780
8/4/2002,17.790
22/8/2008,17.800
16/4/2003,17.800
11/4/2016,17.810
18/7/2012,17.820
16/7/2012,17.820
6/4/2018,17.830
21/8/2008,17.840
7/2/2003,17.890
7/11/2009,17.900
16/7/2005,17.900
17/7/2003,17.900
18/7/2003,17.900
10/1/2000,17.910
27/10/2011,17.940
9/1/2000,17.950
3/11/2015,17.960
4/4/2015,18.000
28/10/2003,18.010
16/4/2003,18.010
22/10/2018,18.040
17/8/2008,18.070
5/11/2012,18.070
19/7/2004,18.080
8/11/2004,18.100
2/4/2016,18.140
4/4/2002,18.140
29/1/2008,18.150
7/11/2019,18.150
28/7/2003,18.160
8/11/2019,18.180
3/2/2012,18.190
3/4/2002,18.220
3/4/2002,18.220
17/1/2009,18.220
27/10/2003,18.220
8/2/2002,18.250
24/1/2015,18.250
9/2/2002,18.260
9/11/2019,18.280
7/4/2014,18.280
12/1/2009,18.280
12/11/2019,18.280
11/7/2019,18.290
13/7/2019,18.290
12/7/2019,18.290
14/7/2004,18.320
12/2/2006,18.330
5/8/2011,18.380
31/10/2011,18.380
29/10/2011,18.380
28/10/2011,18.390
30/10/2011,18.390
27/10/2018,18.390
25/1/2015,18.430
8/4/2003,18.460
19/1/2013,18.480
18/1/2013,18.480
16/1/2013,18.490
17/1/2013,18.490
4/4/2016,18.500
5/4/2016,18.500
7/4/2003,18.530
21/1/2016,18.530
16/8/2008,18.560
20/7/2009,18.570
8/11/2005,18.610
11/2/2006,18.610
10/11/2015,18.650
4/8/2011,18.650
26/7/2019,18.680
20/7/2009,18.690
23/7/2009,18.690
27/7/2003,18.690
16/4/2017,18.700
26/7/2003,18.720
28/7/2004,18.720
14/4/2014,18.770
26/10/2003,18.780
14/1/2008,18.820
23/7/2019,18.820
25/3/2004,18.850
13/2/2006,18.900
29/4/2005,18.950
12/7/2005,18.950
6/4/2003,18.960
9/11/2004,18.960
24/3/2004,18.980
19/10/2012,18.990
20/10/2012,18.990
25/7/2003,18.990
30/10/2008,19.010
12/7/2015,19.030
24/10/2012,19.030
21/4/2005,19.030
23/10/2012,19.030
10/1/2005,19.040
8/4/2016,19.050
23/3/2004,19.070
23/7/2004,19.090
6/4/2004,19.090
22/7/2004,19.090
4/4/2014,19.170
19/6/2018,19.180
25/10/2008,19.180
17/10/2008,19.190
11/11/2017,19.250
18/11/2014,19.260
18/4/2015,19.260
19/11/2014,19.260
22/1/2016,19.300
23/1/2016,19.300
24/1/2016,19.310
30/10/2015,19.310
1/11/2003,19.310
11/1/2016,19.380
17/4/2014,19.380
9/4/2014,19.380
10/11/2016,19.390
16/1/2005,19.400
8/4/2014,19.410
10/4/2014,19.410
22/4/2005,19.430
12/1/2016,19.440
